time_step,replica_index,time,relative_energy_error
0.002,0,0,0
0.002,0,0.01,-0.000239368689629
0.002,0,0.02,-0.000240107812607
0.002,0,0.03,-0.000241472765721
0.002,0,0.04,-0.000243286420745
0.002,0,0.05,-0.000247471313277
0.002,0,0.06,-0.000251796294723
0.002,0,0.07,-0.000258596941445
0.002,0,0.08,-0.000264698380115
0.002,0,0.09,-0.000268146456654
0.002,0,0.1,-0.000263976911966
0.002,0,0.11,-0.000248870978305
0.002,0,0.12,-0.000235422665336
0.002,0,0.13,-0.00023114449788
0.002,0,0.14,-0.000240199173804
0.002,0,0.15,-0.000250164731115
0.002,0,0.16,-0.000264788686348
0.002,0,0.17,-0.000263753048171
0.002,0,0.18,-0.000261919040376
0.002,0,0.19,-0.000260728000936
0.002,0,0.2,-0.000263005377943
0.002,0,0.21,-0.000268678209672
0.002,0,0.22,-0.000273002003367
0.002,0,0.23,-0.000280157658976
0.002,0,0.24,-0.000277042477708
0.002,0,0.25,-0.000270826874669
0.002,0,0.26,-0.000269478371608
0.002,0,0.27,-0.000276487827598
0.002,0,0.28,-0.000283704247169
0.002,0,0.29,-0.000265951872464
0.002,0,0.3,-0.000250908656199
0.002,0,0.31,-0.000245548201397
0.002,0,0.32,-0.00024972167262
0.002,0,0.33,-0.000262271148878
0.002,0,0.34,-0.000272910968456
0.002,0,0.35,-0.000293946232585
0.002,0,0.36,-0.000284662805534
0.002,0,0.37,-0.000274816077655
0.002,0,0.38,-0.000266128219585
0.002,0,0.39,-0.000263636364642
0.002,0,0.4,-0.000267520903623
0.002,0,0.41,-0.000263989132631
0.002,0,0.42,-0.000264114686137
0.002,0,0.43,-0.000265013422416
0.002,0,0.44,-0.000278326207171
0.002,0,0.45,-0.00029509374912
0.002,0,0.46,-0.000300323230879
0.002,0,0.47,-0.000298792720228
0.002,0,0.48,-0.000296310935412
0.002,0,0.49,-0.000281300453121
0.002,0,0.5,-0.000271085979787
0.002,0,0.51,-0.000272235301645
0.002,0,0.52,-0.000282280337411
0.002,0,0.53,-0.000293598451745
0.002,0,0.54,-0.000287465540202
0.002,0,0.55,-0.000281253697741
0.002,0,0.56,-0.000274934301723
0.002,0,0.57,-0.000267990609932
0.002,0,0.58,-0.000269918208808
0.002,0,0.59,-0.000275813866541
0.002,0,0.6,-0.000282102659355
0.002,0,0.61,-0.000279763140355
0.002,0,0.62,-0.000279390261346
0.002,0,0.63,-0.000280358653647
0.002,0,0.64,-0.000276799055196
0.002,0,0.65,-0.000279935959385
0.002,0,0.66,-0.000301674615546
