thermostat,replica_index,time,relative_energy_error
weak_argon_langevin,0,0,0
weak_argon_langevin,0,0.015,-5.26514415742e-06
weak_argon_langevin,0,0.03,2.55519689373e-05
weak_argon_langevin,0,0.045,6.15221836463e-05
weak_argon_langevin,0,0.06,6.27303654655e-05
weak_argon_langevin,0,0.075,6.42843273869e-05
weak_argon_langevin,0,0.09,5.62383692868e-05
weak_argon_langevin,0,0.105,1.60219491288e-05
weak_argon_langevin,0,0.12,9.08874464962e-06
weak_argon_langevin,0,0.135,6.56880301932e-05
weak_argon_langevin,0,0.15,0.000109775479794
weak_argon_langevin,0,0.165,4.33616129534e-05
weak_argon_langevin,0,0.18,3.71643542339e-05
weak_argon_langevin,0,0.195,6.6369205178e-05
weak_argon_langevin,0,0.21,7.68163972395e-05
weak_argon_langevin,0,0.225,7.61800775899e-05
weak_argon_langevin,0,0.24,6.5496791388e-05
weak_argon_langevin,0,0.255,6.52604239095e-05
weak_argon_langevin,0,0.27,7.9043350671e-05
weak_argon_langevin,0,0.285,0.000101862240122
weak_argon_langevin,0,0.3,0.00010915911692
weak_argon_langevin,0,0.315,0.000102909852429
weak_argon_langevin,0,0.33,9.46373560218e-05
weak_argon_langevin,0,0.345,9.54855097252e-05
weak_argon_langevin,0,0.36,9.43882985612e-05
weak_argon_langevin,0,0.375,0.000108062200483
weak_argon_langevin,0,0.39,0.000123271371761
weak_argon_langevin,0,0.405,9.28365138946e-05
weak_argon_langevin,0,0.42,8.47707386778e-05
weak_argon_langevin,0,0.435,7.37847643599e-05
weak_argon_langevin,0,0.45,8.31536761366e-05
weak_argon_langevin,0,0.465,9.881770088e-05
weak_argon_langevin,0,0.48,0.000110827444074
weak_argon_langevin,0,0.495,0.000100093039769
weak_argon_langevin,0,0.51,8.57604410827e-05
weak_argon_langevin,0,0.525,6.9868092179e-05
weak_argon_langevin,0,0.54,6.89686327396e-05
weak_argon_langevin,0,0.555,9.14063031893e-05
weak_argon_langevin,0,0.57,9.00047160113e-05
weak_argon_langevin,0,0.585,4.57286555319e-05
weak_argon_langevin,0,0.6,2.50885086506e-05
weak_argon_langevin,0,0.615,3.01165655315e-05
weak_argon_langevin,0,0.63,4.86272221717e-05
weak_argon_langevin,0,0.645,8.90531575436e-05
weak_argon_langevin,0,0.66,9.94166342253e-05
weak_argon_langevin,0,0.675,5.11541146321e-05
weak_argon_langevin,0,0.69,3.17219600882e-05
weak_argon_langevin,0,0.705,4.18611290296e-05
weak_argon_langevin,0,0.72,5.58737828395e-05
weak_argon_langevin,0,0.735,5.76177579527e-05
weak_argon_langevin,0,0.75,4.31744301246e-05
weak_argon_langevin,0,0.765,3.31324083449e-05
weak_argon_langevin,0,0.78,3.37136703404e-05
weak_argon_langevin,0,0.795,2.43396308526e-05
weak_argon_langevin,0,0.81,2.1545340242e-05
weak_argon_langevin,0,0.825,1.69144358051e-05
weak_argon_langevin,0,0.84,1.89328410507e-05
weak_argon_langevin,0,0.855,1.85237736461e-05
weak_argon_langevin,0,0.87,2.12048383362e-05
weak_argon_langevin,0,0.885,2.98753345826e-05
weak_argon_langevin,0,0.9,1.50998106387e-05
weak_argon_langevin,1,0,0
weak_argon_langevin,1,0.015,-2.69239622886e-05
weak_argon_langevin,1,0.03,-9.25088245353e-05
weak_argon_langevin,1,0.045,-9.97837700585e-05
weak_argon_langevin,1,0.06,-3.18973692701e-05
weak_argon_langevin,1,0.075,5.98587259847e-06
weak_argon_langevin,1,0.09,-2.64245544354e-05
weak_argon_langevin,1,0.105,-4.20498063167e-05
weak_argon_langevin,1,0.12,-4.81137897121e-05
weak_argon_langevin,1,0.135,-4.74420228814e-05
weak_argon_langevin,1,0.15,-2.64896088546e-05
weak_argon_langevin,1,0.165,-4.11458687782e-07
weak_argon_langevin,1,0.18,-1.13520084576e-05
weak_argon_langevin,1,0.195,-2.97581642649e-05
weak_argon_langevin,1,0.21,-3.80364932969e-05
weak_argon_langevin,1,0.225,-3.07946467658e-05
weak_argon_langevin,1,0.24,1.49102037708e-05
weak_argon_langevin,1,0.255,1.79054678926e-05
weak_argon_langevin,1,0.27,-1.33943110759e-05
weak_argon_langevin,1,0.285,-4.02564808569e-05
weak_argon_langevin,1,0.3,-5.77745055492e-05
weak_argon_langevin,1,0.315,-6.36003163068e-05
weak_argon_langevin,1,0.33,-5.93423459087e-05
weak_argon_langevin,1,0.345,-2.94289261691e-06
weak_argon_langevin,1,0.36,-6.45478021959e-06
weak_argon_langevin,1,0.375,-7.07856016575e-05
weak_argon_langevin,1,0.39,-5.77141388482e-05
weak_argon_langevin,1,0.405,-6.14346632317e-06
weak_argon_langevin,1,0.42,-4.32913994978e-06
weak_argon_langevin,1,0.435,-1.79161682885e-05
weak_argon_langevin,1,0.45,-9.90272454871e-06
weak_argon_langevin,1,0.465,-1.07159502837e-05
weak_argon_langevin,1,0.48,-2.1407152849e-05
weak_argon_langevin,1,0.495,-3.51746275484e-05
weak_argon_langevin,1,0.51,-2.69412959981e-05
