step,replica_0_potential_energy_per_atom,replica_1_potential_energy_per_atom,replica_2_potential_energy_per_atom,replica_0_coordination_number,replica_1_coordination_number,replica_2_coordination_number
500,-5.21844223195,-5.19955701855,-5.08815795631,12.5625,12.625,12.375
510,-5.15754588507,-5.27722860886,-5.05136909907,12.625,12.625,12.5
520,-5.12292037196,-5.19635623036,-5.11187279915,12.5625,12.5,12.4375
530,-5.12920939733,-5.0389256033,-5.20500948366,12.625,12.25,12.3125
540,-5.1484842664,-5.02725588625,-5.24054822561,12.5,12.375,12.3125
550,-5.18454875861,-5.08809227294,-5.21881201492,12.5,12.3125,12.3125
560,-5.29959519382,-5.17792264785,-5.15933641655,12.4375,12.25,12.375
570,-5.39918024651,-5.23165966808,-5.09891581938,12.3125,12.1875,12.4375
580,-5.4149479708,-5.22509063164,-5.01489486851,12.375,12.3125,12.375
590,-5.37068300435,-5.23572186538,-4.9709864342,12.75,12.375,12.25
600,-5.31064515412,-5.29385124014,-5.03005410801,12.6875,12.5,12.5
610,-5.29899280057,-5.36069629945,-5.12970704817,12.8125,12.4375,12.75
620,-5.28656010945,-5.3674948324,-5.21324913322,12.6875,12.5,12.8125
630,-5.29311694734,-5.25821112328,-5.26947780514,12.5625,12.5625,12.8125
640,-5.29418169055,-5.17915327604,-5.31515867712,12.5625,12.5625,12.875
650,-5.25400816699,-5.2550284198,-5.33281645543,12.5,12.625,12.75
660,-5.22912955819,-5.25171533109,-5.27814489965,12.625,12.6875,12.5625
670,-5.26515770568,-5.25690081436,-5.18700082212,12.5625,12.5625,12.6875
680,-5.30307283694,-5.33301773814,-5.16163714025,12.5625,12.5,12.6875
690,-5.31967575004,-5.27627041028,-5.17926780649,12.5,12.3125,12.6875
700,-5.3073284621,-5.19626402761,-5.20952810613,12.5,12.3125,12.6875
710,-5.33075861107,-5.220670874,-5.23240101786,12.625,12.375,12.625
720,-5.3848696452,-5.28787085435,-5.22008168151,12.5,12.25,12.8125
730,-5.40883374569,-5.36568186322,-5.18169257561,12.5,12.375,12.8125
740,-5.36114058051,-5.42071043054,-5.16273525975,12.5625,12.4375,12.625
750,-5.27345711684,-5.39521488112,-5.14245162709,12.5625,12.5,12.75
760,-5.23022297708,-5.29630418878,-5.13635073653,12.5625,12.375,12.5625
770,-5.25098708318,-5.22975194351,-5.17228405401,12.625,12.4375,12.5
780,-5.27253813725,-5.24380790925,-5.19804780137,12.5,12.3125,12.5625
790,-5.25895832381,-5.27738472374,-5.19325877106,12.6875,12.3125,12.4375
800,-5.24190542332,-5.25963013454,-5.17420666082,12.75,12.4375,12.3125
810,-5.27856473212,-5.2122885965,-5.20053467278,12.6875,12.4375,12.4375
820,-5.36790622495,-5.19244873907,-5.23900070772,12.5,12.5,12.5
830,-5.45398595555,-5.21357872183,-5.24436952623,12.25,12.5625,12.6875
840,-5.45530396288,-5.29384368263,-5.22959723289,12.375,12.625,12.625
850,-5.38148095823,-5.3755989692,-5.23713855775,12.5,12.625,12.5
860,-5.28352046748,-5.41692293016,-5.25949324848,12.625,12.625,12.5625
870,-5.23978748206,-5.39163132874,-5.18168426782,12.5625,12.5,12.625
880,-5.27218872918,-5.31561573209,-5.04672533256,12.5,12.5,12.5625
890,-5.33519839294,-5.26434487708,-5.03568555984,12.5,12.6875,12.5625
900,-5.36164154031,-5.24352484471,-5.16654571522,12.4375,12.5625,12.625
910,-5.33162009507,-5.17242001635,-5.27548877853,12.5,12.5,12.8125
920,-5.27756404984,-5.09670985345,-5.27955758513,12.5,12.5,12.5625
930,-5.26787530271,-5.10016157118,-5.14032680626,12.375,12.375,12.3125
940,-5.30348687464,-5.06933444932,-5.07963000553,12.1875,12.5,12.1875
950,-5.35363320559,-5.01036416252,-5.14627577954,12.125,12.5,12.4375
960,-5.35043690298,-4.9908014855,-5.1890279876,12.1875,12.5625,12.5
970,-5.33357984465,-5.04255648568,-5.24978136515,12.375,12.5625,12.375
980,-5.34245116727,-4.94902393017,-5.30182610134,12.375,12.375,12.4375
