radius,argon_trajectory_rdf,argon_trajectory_rdf_replica_std
0.02,0,0
0.06,0,0
0.1,0,0
0.14,0,0
0.18,0,0
0.22,0,0
0.26,0,0
0.3,0,0
0.34,0,0
0.38,0,0
0.42,0,0
0.46,0,0
0.5,0,0
0.54,0,0
0.58,0,0
0.62,0,0
0.66,0,0
0.7,0,0
0.74,0,0
0.78,0,0
0.82,0,0
0.86,0,0
0.9,0,0
0.94,0.0380975855278,0.0049736252048
0.98,0.433913037199,0.0546447818002
1.02,1.45493062413,0.091765026457
1.06,2.55701120352,0.0571595883465
1.1,2.92033124762,0.101314204354
1.14,2.84853102049,0.130477763814
1.18,2.43860220311,0.0452769351252
1.22,1.97403237901,0.0650039783077
1.26,1.52750122977,0.0542790282774
1.3,1.17805033853,0.04849570345
1.34,0.934861209422,0.0315337825034
1.38,0.755881642661,0.0145450567095
1.42,0.595875645855,0.0400408538087
1.46,0.527729767531,0.0304415313814
1.5,0.497897277071,0.0208521024728
1.54,0.493907931055,0.00680038480488
1.58,0.538042622761,0.0293277885951
1.62,0.586559566427,0.0199075059145
1.66,0.561161317916,0.00340526496352
1.7,nan,nan
1.74,nan,nan
1.78,nan,nan
1.82,nan,nan
1.86,nan,nan
1.9,nan,nan
1.94,nan,nan
1.98,nan,nan
2.02,nan,nan
2.06,nan,nan
2.1,nan,nan
2.14,nan,nan
2.18,nan,nan
2.22,nan,nan
2.26,nan,nan
2.3,nan,nan
2.34,nan,nan
2.38,nan,nan
2.42,nan,nan
2.46,nan,nan
2.5,nan,nan
2.54,nan,nan
2.58,nan,nan
2.62,nan,nan
2.66,nan,nan
2.7,nan,nan
2.74,nan,nan
2.78,nan,nan
2.82,nan,nan
2.86,nan,nan
2.9,nan,nan
2.94,nan,nan
2.98,nan,nan
