radius,small_cell_rdf,large_cell_rdf
0.04,0,0
0.12,0,0
0.2,0,0
0.28,0,0
0.36,0,0
0.44,0,0
0.52,0,0
0.6,0,0
0.68,0,0
0.76,0,0
0.84,0,0
0.92,0,0
1,0,0
1.08,0,0
1.16,0,0
1.24,0,0
1.32,0,0
1.4,0,0
1.48,0,0
1.56,0,0
1.64,0,0
1.72,0,0
1.8,0,0
1.88,0,0
1.96,0,0
2.04,0,0
2.12,0,0
2.2,0,0
2.28,0,0
2.36,0,0
2.44,0,0
2.52,0,0
2.6,0,0
2.68,0,0
2.76,0,0
2.84,0,0
2.92,0,0
3,0,0
3.08,0,0
3.16,0,0
3.24,0,0
3.32,0,0
3.4,0,0
3.48,0,0.00271606868695
3.56,0.00875939009147,0.0190327488407
3.64,0.122886255969,0.0744765187691
3.72,0.45726122744,0.43814677717
3.8,1.44789176842,1.3872426147
3.88,3.29379712601,3.3626227376
3.96,5.88285333414,5.94586736237
4.04,7.57025279855,7.58763483053
4.12,7.1919245538,7.09559944976
4.2,4.7346810963,4.83762752556
4.28,2.45440925772,2.46121770895
4.36,0.891561281274,0.909585728979
4.44,0.27593737584,0.208013259893
4.52,0.048904231889,0.0440071003007
4.6,0.00349763326501,0.00725435047557
4.68,0,0.00100120917735
4.76,0,0
4.84,0,0
4.92,0,0
5,0,0
5.08,0,0
5.16,0,0.000411802524793
5.24,0.00134772062604,0.00199662314969
5.32,0.0287648502232,0.0197576749008
5.4,0.101523225856,0.0981391183274
5.48,0.347497082769,0.320569938189
5.56,0.76372056928,0.792715881733
5.64,1.40880063358,1.41806423991
5.72,1.80511400116,1.8924122834
5.8,nan,1.77766273571
5.88,nan,1.29483710463
5.96,nan,0.652533857273
6.04,nan,0.238336231704
6.12,nan,0.064403691327
6.2,nan,0.0159733397785
6.28,nan,0.00222413904341
6.36,nan,0.000271067312481
6.44,nan,0.000264374636693
6.52,nan,0.00490060916982
6.6,nan,0.0385119358797
6.68,nan,0.202226854603
6.76,nan,0.702297899354
6.84,nan,1.85189764165
6.92,nan,3.56507519254
7,nan,4.86156476378
7.08,nan,4.93912376489
7.16,nan,3.65517864263
7.24,nan,2.00120385224
7.32,nan,0.796627008217
7.4,nan,0.225258900851
7.48,nan,0.0515401312785
7.56,nan,0.00729009286155
7.64,nan,0.00713822147779
7.72,nan,0.0255725137402
7.8,nan,0.125974101864
7.88,nan,0.384590735061
7.96,nan,0.928750181583
