lag,normalized_vacf
0,1
1,0.880774054049
2,0.773579715904
3,0.680436836952
4,0.596712718684
5,0.524620180554
6,0.463468198023
7,0.411945081143
8,0.364032242226
9,0.319505359734
10,0.278133564765
11,0.240807511923
12,0.210396039833
13,0.182671504683
14,0.157927896352
15,0.137350414714
16,0.118753290876
17,0.105234988982
18,0.0935736516205
19,0.0849283489323
20,0.076253821062
21,0.0696797308461
22,0.0633323810163
23,0.0566829726857
24,0.0495828487859
25,0.0437395027265
26,0.0384866655347
27,0.0325687578607
28,0.0258826624208
29,0.0193701296949
30,0.0118068199233
31,0.00758137523805
32,0.00250201294129
33,-0.00192768567383
34,-0.0081854180612
35,-0.0146542349707
36,-0.0223114185177
37,-0.0255415584507
38,-0.0277424375568
39,-0.026703468271
40,-0.0240602513324
